"Question","Answer"
"1. Which specific courses are included in the Fall 2021 schedule for AIPI students at Pratt Institute?","The specific courses included in the Fall 2021 schedule for AIPI students at Pratt Institute are: \n  \n 1. AIPI 503: Bootcamp \n 2. AIPI 510: Sourcing Data for Analytics \n 3. AIPI 520: Modeling Process & Algorithms \n 4. AIPI 530: AI in Practice \n 5. MENG 570: Business Fundamentals for Engineers \n 6. AIPI 501: Industry Seminar Series."
"2. When will the full list of Pratt courses become available for students?","The full list of Pratt courses will be available on June 28, 2021."
"3. Can you provide more details about the AIPI 503: Bootcamp course?","AIPI 503: Bootcamp is a foundational course that likely provides students with the essential skills and knowledge needed to excel in the field of artificial intelligence and predictive analytics. Typically, bootcamp courses are intensive and practical, aimed at equipping students with hands-on experience, tools, and techniques necessary for success in the AI field. This course may cover topics such as programming languages commonly used in AI, statistical analysis, data manipulation, machine learning basics, and more. For specific details on course content, prerequisites, and instructors, you may need to refer to the official course description or reach out to the program coordinators."
"4. What is the purpose of the AIPI 530: AI in Practice course?","The purpose of the AIPI 530: AI in Practice course is likely to provide students with practical, hands-on experience in applying artificial intelligence techniques and technologies to real-world problems or scenarios. It may involve practical exercises, case studies, and projects that help students develop skills in implementing AI solutions effectively."
"5. How does the MENG 570: Business Fundamentals for Engineers course fit into the curriculum for AIPI students?","The MENG 570: Business Fundamentals for Engineers course is integrated into the curriculum for AIPI students to provide them with a strong foundation in business skills and knowledge relevant to their field. This course aims to complement the technical aspects of AI and data analytics by equipping students with essential business fundamentals, enabling them to apply their technical knowledge effectively in real-world business settings."
"1. When will the Pratt School of Engineering be available to students via the Simple and Advanced Class Search functions on DukeHub?","The Pratt School of Engineering will be available to students via the Simple and Advanced Class Search functions on DukeHub on June 28, 2021."
"2. When does the Fall 2021 course registration for graduate students start?","The Fall 2021 course registration for graduate students starts on July 7."
"3. What is the deadline for the Drop/Add period for graduate students in DukeHub for Fall 2021 courses?","The deadline for the Drop/Add period for graduate students in DukeHub for Fall 2021 courses is September 3."
"4. How can students access the course registration system for Duke University (DukeHub)?","Students can access the course registration system for Duke University (DukeHub) using the Simple and Advanced Class Search functions on DukeHub. They can use their NetID and password to login and register for courses."
"5. What are the credentials required to register for classes using DukeHub?","The credentials required to register for classes using DukeHub are a NetID and password."
"1. What are the approved AIPI technical electives listed on the AIPI website?","I'm sorry, but I do not have the specific information on the approved AIPI technical electives listed on the AIPI website. I recommend visiting the official AIPI website or contacting the program directly for the most up-to-date and accurate list of approved technical electives."
"2. How can AIPI students obtain approval to take technical electives from other programs?","AIPI students can obtain approval to take technical electives from other programs by seeking permission from the AIPI Director."
"3. What is the process for AIPI students to enroll in graduate courses outside of AIPI?","The process for AIPI students to enroll in graduate courses outside of AIPI involves obtaining permission from instructors for enrolling in these courses."
"4. How many audited courses are AIPI students allowed to take per semester?","AIPI students are allowed to audit up to two courses per semester."
"5. What is the impact of auditing courses on a student's GPA and degree requirements in the AIPI program?","Auditing courses in the AIPI program does not impact a student's GPA or degree requirements. The audited courses do not count towards GPA or degree requirements."
"1. What is the minimum number of credits considered as full-time enrollment for international students on F-1 visas according to the text?","The text mentions that international students on F-1 visas need to be registered as full-time students, which is typically considered as 9.0 credits per semester."
"2. How many credits do most students at AIPI Campus enroll in per semester as a full-time load?","Most students at AIPI Campus enroll in 12.0 credits per semester as a full-time load."
"3. What is the difference in required courses between residential graduate students and online students at AIPI Campus, as mentioned in the text?","According to the information provided in the summary, the difference in required courses between residential graduate students and online students at AIPI Campus is as follows: \n  \n - Residential graduate students are required to take 4 courses. \n - Online students are required to take 2 courses. \n  \n Therefore, the difference in required courses is 2 courses, with residential graduate students taking 2 additional courses compared to online students."
"4. How are tuition fees structured for online students at AIPI Campus, compared to residential graduate students?","For online students at AIPI Campus, tuition fees are structured on a per-credit basis. This means that online students pay for the number of credits they enroll in each semester.  \n  \n On the other hand, residential graduate students at AIPI Campus pay a flat-rate per-semester fee that is equivalent to enrolling in 12.0 credits per semester, regardless of the actual number of credits taken."
"5. How does the flat-rate per-semester fee for residential graduate students at AIPI Campus compare to the actual number of credits typically taken by these students per semester?","The flat-rate per-semester fee for residential graduate students at AIPI Campus is equivalent to 12.0 credits per semester, while the actual number of credits typically taken by these students per semester is also 12.0 credits. Therefore, there is no difference between the flat-rate fee and the number of credits taken by residential graduate students at AIPI Campus per semester."
"1. How many credits can AIPI students take per semester, and what additional benefit do full-time residential students receive?","AIPI students can take up to 15.0 credits per semester, with a fifth credit available for free for full-time residential students."
